"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Prepared Pigments",63207,"Chemical Products",6,5348,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Nonaqueous Paints",63208,"Chemical Products",6,108852,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Aqueous Paints",63209,"Chemical Products",6,362488,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Other Paints",63210,"Chemical Products",6,71708,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Prepared Paint Driers",63211,"Chemical Products",6,89699,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Nonaqueous Pigments",63212,"Chemical Products",6,3373,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Artistry Paints",63213,"Chemical Products",6,332,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Glaziers Putty",63214,"Chemical Products",6,8305,2019
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",632,"Ink",63215,"Chemical Products",6,33816,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Essential Oils",63301,"Chemical Products",6,3870439,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Scented Mixtures",63302,"Chemical Products",6,33046,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Perfumes",63303,"Chemical Products",6,10112,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Beauty Products",63304,"Chemical Products",6,5289720,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Hair Products",63305,"Chemical Products",6,157074,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Dental Products",63306,"Chemical Products",6,3273622,2019
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",633,"Shaving Products",63307,"Chemical Products",6,157276,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Soap",63401,"Chemical Products",6,3042503,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Cleaning Products",63402,"Chemical Products",6,15780360,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Lubricating Products",63403,"Chemical Products",6,3538,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Polishes and Creams",63405,"Chemical Products",6,537,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Candles",63406,"Chemical Products",6,1657,2019
"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis of plaster",634,"Pastes and Waxes",63407,"Chemical Products",6,12,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Dextrins",63505,"Chemical Products",6,14382.000000000002,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Glues",63506,"Chemical Products",6,37108,2019
"Albuminoidal substances; modified starches; glues; enzymes",635,"Enzymes",63507,"Chemical Products",6,66,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Prepared Explosives",63602,"Chemical Products",6,21805,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Detonating Fuses",63603,"Chemical Products",6,285822,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Matches",63605,"Chemical Products",6,43863,2019
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",636,"Pyrophoric Alloys",63606,"Chemical Products",6,7990,2019
"Photographic or cinematographic goods",637,"Photographic Plates",63701,"Chemical Products",6,1680,2019
"Photographic or cinematographic goods",637,"Photographic Film",63702,"Chemical Products",6,238,2019
"Photographic or cinematographic goods",637,"Photographic Paper",63703,"Chemical Products",6,1594,2019
"Photographic or cinematographic goods",637,"Undeveloped Exposed Photographic Material",63704,"Chemical Products",6,152,2019
"Photographic or cinematographic goods",637,"Photographic Chemicals",63707,"Chemical Products",6,1225,2019
"Chemical products n.e.s.",638,"Artificial Graphite",63801,"Chemical Products",6,136.99999999999997,2019
"Chemical products n.e.s.",638,"Activated Carbon",63802,"Chemical Products",6,10841,2019
"Chemical products n.e.s.",638,"Turpentine",63805,"Chemical Products",6,235,2019
"Chemical products n.e.s.",638,"Wood Tar, Oils and Pitch",63807,"Chemical Products",6,192,2019
"Chemical products n.e.s.",638,"Pesticides",63808,"Chemical Products",6,607486.0000000001,2019
"Chemical products n.e.s.",638,"Metal Pickling Preparations",63810,"Chemical Products",6,83,2019
"Chemical products n.e.s.",638,"Antiknock",63811,"Chemical Products",6,7679,2019
"Chemical products n.e.s.",638,"Prepared Rubber Accelerators",63812,"Chemical Products",6,40.99999999999999,2019
"Chemical products n.e.s.",638,"Fire Extinguishers Preparations",63813,"Chemical Products",6,63,2019
"Chemical products n.e.s.",638,"Organic Composite Solvents",63814,"Chemical Products",6,8041,2019
"Chemical products n.e.s.",638,"Refractory Cements",63816,"Chemical Products",6,647,2019
"Chemical products n.e.s.",638,"Disc Chemicals for Electronics",63818,"Chemical Products",6,1258,2019
"Chemical products n.e.s.",638,"Hydraulic Brake Fluid",63819,"Chemical Products",6,209021,2019
"Chemical products n.e.s.",638,"Antifreeze",63820,"Chemical Products",6,4406,2019
"Chemical products n.e.s.",638,"Laboratory Reagents",63822,"Chemical Products",6,35649,2019
"Chemical products n.e.s.",638,"Industrial Fatty Acids, Oils and Alcohols",63823,"Chemical Products",6,1376244,2019
"Plastics and articles thereof",739,"Ethylene Polymers",73901,"Plastics and Rubbers",7,755743,2019
"Plastics and articles thereof",739,"Propylene Polymers",73902,"Plastics and Rubbers",7,284619,2019
"Plastics and articles thereof",739,"Styrene Polymers",73903,"Plastics and Rubbers",7,253,2019
"Plastics and articles thereof",739,"Vinyl Chloride Polymers",73904,"Plastics and Rubbers",7,459135,2019
"Plastics and articles thereof",739,"Other Vinyl Polymers",73905,"Plastics and Rubbers",7,20564,2019
"Plastics and articles thereof",739,"Acrylic Polymers",73906,"Plastics and Rubbers",7,101593,2019
"Plastics and articles thereof",739,"Polyacetals",73907,"Plastics and Rubbers",7,10565027,2019
"Plastics and articles thereof",739,"Polyamides",73908,"Plastics and Rubbers",7,4466,2019
"Plastics and articles thereof",739,"Amino-resins",73909,"Plastics and Rubbers",7,150346,2019
"Plastics and articles thereof",739,"Silicone",73910,"Plastics and Rubbers",7,58086,2019
"Plastics and articles thereof",739,"Petroleum Resins",73911,"Plastics and Rubbers",7,24323,2019
"Plastics and articles thereof",739,"Cellulose",73912,"Plastics and Rubbers",7,78570,2019
"Plastics and articles thereof",739,"Natural Polymers",73913,"Plastics and Rubbers",7,29196,2019
"Plastics and articles thereof",739,"Scrap Plastic",73915,"Plastics and Rubbers",7,1839633,2019
"Plastics and articles thereof",739,"Monofilament",73916,"Plastics and Rubbers",7,7012,2019
"Plastics and articles thereof",739,"Plastic Pipes",73917,"Plastics and Rubbers",7,1997298,2019
"Plastics and articles thereof",739,"Plastic Floor Coverings",73918,"Plastics and Rubbers",7,83837.00000000001,2019
"Plastics and articles thereof",739,"Self-adhesive Plastics",73919,"Plastics and Rubbers",7,28630,2019
"Plastics and articles thereof",739,"Raw Plastic Sheeting",73920,"Plastics and Rubbers",7,3504197.0000000005,2019
"Plastics and articles thereof",739,"Other Plastic Sheetings",73921,"Plastics and Rubbers",7,360898,2019
"Plastics and articles thereof",739,"Plastic Wash Basins",73922,"Plastics and Rubbers",7,550091,2019
"Plastics and articles thereof",739,"Plastic Lids",73923,"Plastics and Rubbers",7,2371462,2019
"Plastics and articles thereof",739,"Plastic Housewares",73924,"Plastics and Rubbers",7,2078452,2019
"Plastics and articles thereof",739,"Plastic Building Materials",73925,"Plastics and Rubbers",7,294964,2019
"Plastics and articles thereof",739,"Other Plastic Products",73926,"Plastics and Rubbers",7,181780,2019
"Rubber and articles thereof",740,"Rubber",74001,"Plastics and Rubbers",7,5386,2019
"Rubber and articles thereof",740,"Synthetic Rubber",74002,"Plastics and Rubbers",7,875,2019
"Rubber and articles thereof",740,"Scrap Rubber",74004,"Plastics and Rubbers",7,3508,2019
