"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Man-made staple fibres",1155,"Synthetic Filament Tow",115501,"Textiles",11,156957,2019
"Man-made staple fibres",1155,"Unprocessed Synthetic Staple Fibers",115503,"Textiles",11,1321922,2019
"Man-made staple fibres",1155,"Artificial Fibers Waste",115505,"Textiles",11,5875,2019
"Man-made staple fibres",1155,"Processed Synthetic Staple Fibers",115506,"Textiles",11,1240,2019
"Man-made staple fibres",1155,"Non-Retail Artificial Staple Fibers Sewing Thread",115508,"Textiles",11,1728.9999999999998,2019
"Man-made staple fibres",1155,"Non-Retail Synthetic Staple Fibers Yarn",115509,"Textiles",11,22.000000000000004,2019
"Man-made staple fibres",1155,"Retail Artificial Staple Fibers Yarn",115511,"Textiles",11,76,2019
"Man-made staple fibres",1155,"Synthetic Fabrics",115512,"Textiles",11,149329,2019
"Man-made staple fibres",1155,"Light Synthetic Cotton Fabrics",115513,"Textiles",11,52384,2019
"Man-made staple fibres",1155,"Heavy Synthetic Cotton Fabrics",115514,"Textiles",11,232521,2019
"Man-made staple fibres",1155,"Other Synthetic Fabrics",115515,"Textiles",11,9204,2019
"Man-made staple fibres",1155,"Woven Fabric of Synthetic Staple Fibers",115516,"Textiles",11,430474,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Wadding",115601,"Textiles",11,340,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Felt",115602,"Textiles",11,59.00000000000001,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Non-woven Textiles",115603,"Textiles",11,5383,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Rubber Textiles",115604,"Textiles",11,682,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Gimp Yarn",115606,"Textiles",11,172,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Twine and Rope",115607,"Textiles",11,3048254,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Netting",115608,"Textiles",11,224887,2019
"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1156,"Other Articles of Twine and Rope",115609,"Textiles",11,845,2019
"Carpets and other textile floor coverings",1157,"Knotted Carpets",115701,"Textiles",11,362,2019
"Carpets and other textile floor coverings",1157,"Hand-Woven Rugs",115702,"Textiles",11,6165,2019
